	AIDS	cancer	cardiac hypertrophy	gastric cancer	glioma	non-small cell lung cancer	barretts Esophagus	esophageal adenocarcinoma	lung cancer	nasopharyngeal carcinoma	dilated cardiomyopathy	HCV	human spinocerebellar ataxia type 8	Spinocerebellar ataxia type 8	Alzheimers disease	Inclusion body myositis	melanoma	colorectal cancer	papillary thyroid carcinoma	osteosarcoma	breast cancer	aging	cervical cancer	oesophagus cancer	ovarian cancer	parotid cancer	tongue cancer	depression	Huntingtons disease	psychiatric disease	schizophrenia	testicular cancer	blepharophimosis syndrome	prostat	endometrial cancer	carcinoma	colon cancer	gallbladder cancer	esophageal squamous cell carcinoma	acute myeloid leukemia	abdominal aortic aneurysm	acute lymphoblastic leukemia	aortic aneurysm	atherosclerosis	basal cell carcinoma	Cardiovascular disease	coronary artery disease	coronary disease	coronary heart disease	Diabetes	endometriosis	Esophageal squamous cell cancer	familial and sporadic intracranial aneurysms	Glaucoma	hereditary cutaneous malignant melanoma	intracranial aneurism	ischemic stroke	leukemia	myocardial infarction	neural system tumors syndrome	Neurofibromatosis type 1	periodontitis	peripheral artery disease	Plexiform neurofibroma	Stroke	tumor	type 2 diabetes	cat eye syndrome	adolescent idiopathic scoliosis	bone diseases	postmenopausal osteoporosis	hepatocellular carcinoma	prostate cancer	bipolar disorder	panic disorder	Pancreatic ductal adenocarcinoma	DiGeorge syndrome	velocardiofacial syndrome	affective disorders	Autism spectrum disorder	Major depression	chronic lymphocytic leukemia	lymphocytic leukemia	lymphoma	myeloma	myotonic dystrophy type 1	embryonal carcinoma	oral squamous cell carcinoma	autoimmune disease	B-cell neoplasms	kidney cancer	systemic lupus erythaematosus	bladder cancer	lung adenocarcinoma	multiple myeloma	pancreatic cancer	renal cell carcinoma	pseudohypoparathyroidism type Ib	adrenocortical carcinomas	Beckwith-Wiedemann syndrome	biparental complete hydatidiform moles	choricarcinoma	chronic myeloproliferative disorders	Congenital hyperinsulinism	germ cell tumor	gestational choriocarcinoma	gestational trophoblastic diseases	glioblastoma	growth restriction	hematopoiesis	hepatocelluar carcinoma	hyperhomocysteinemia	infertility	liver cancer	Mareks disease	Medulloblastoma	Meningioma	Mullerian aplasia	myeloproliferative polycythaemia vera	neural tube defects	neuroblastoma	obesity	pheochromocytoma	Pituitary adenoma	Prader-Willi syndrome	pre-eclampsia	Silver-Russell syndrome	trophoblastic tumor	Wiedemann-Beckwith syndrome	Wilms tumor	chronic myeloid leukemia	esophageal cancer	renal cancer	adenocarcinoma	oesophageal adenocarcinoma	epithelial ovarian cancer	gastrointestinal cancer	laryngeal squamous cell carcinoma	oesophageal squamous cell carcinoma	pancreas cancer	rheumatoid arthritis	small cell lung cancer	non-functioning pituitary adenoma	serous ovarian cancer	transient neonatal diabetes mellitus	multiple sclerosis	type 1 diabetes	narcolepsy	decreased myogenesis	uterus cancer	renal cell carcinoma (RCC)	diabetes mellitus	clear cell renal cell carcinoma	heroin abuse	myelodysplastic syndrome	nonfunctioning pituitary adenomas	drug abuse	myopia	diffuse large B-cell lymphoma	Burkitts lymphoma	squamous-cell lung carcinomas	Downs syndrome	glucose metabolism disorder	Parkinsons disease	psoriasis	Burkitts lymphomas	cleft lip	diabetic nephropathy	Hodgkins lymphoma	murine plasmacytomas	rhabdomyosarcoma	Spinocerebellar ataxia type 7	cardiomyopathy	Human Dilated Cardiomyopathy	dyskeratosis congenita	squamous carcinoma	tongue squamous cell carcinomas	Klinefelters syndrome
lymphocytic leukemia	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.304051121	0.23822486	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.163074998	0.23822486	0.193613418	0.57413213	0.026217688	0.733556862	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.838709477	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.842271159	1	0.564515588	0.458800952	0.022082402	0.144176356	0.23822486	0.041172339	0.336556587	0.304051121	0.054521373	0.23822486	0.163074998	0.38643481	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.38643481	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.564515588	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.57413213	0.304051121	0.304051121	0.184015148	0.193613418	0.193613418	0.304051121	0.193613418	0.193613418	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.458800952	0.078342404	0.054521373	0.026217688	0.336556587	0.302015577	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.302015577	0.07496322	0.054521373	0.458800952	0.278017489	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
lymphoma	0.032258637	0.517415251	0.047619921	0.351665478	0.23822486	0.23822486	0.061343273	0.23822486	0.351665478	0.284037401	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.274166874	0.23822486	0.23822486	0.23822486	0.351665478	0.047619921	0.284037401	0.351665478	0.284037401	0.23822486	0.284037401	0.061343273	0.047619921	0.082379097	0.061343273	0.284037401	0.032258637	0.061343273	0.23822486	0.274166874	0.206873557	0.284037401	0.23822486	0.490223176	0.032258637	0.439027721	0.03846223	0.032258637	0.23822486	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.23822486	0.028013277	0.028013277	0.23822486	0.028013277	0.047619921	0.673076439	0.03846223	0.453010236	0.047619921	0.03846223	0.047619921	0.206873557	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.23822486	0.284037401	0.061343273	0.061343273	0.206873557	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.490223176	0.564515588	1	0.564515588	0.028013277	0.17190262	0.284037401	0.047619921	0.652270226	0.351665478	0.061343273	0.284037401	0.206873557	0.490223176	0.351665478	0.23822486	0.061343273	0.23822486	0.115768709	0.144176356	0.23822486	0.490223176	0.047619921	0.274166874	0.206873557	0.144176356	0.144176356	0.078342404	0.082379097	0.23822486	0.061343273	0.082379097	0.351665478	1	0.206873557	0.284037401	0.03846223	0.03846223	0.17181763	0.23822486	0.047619921	0.23822486	0.115648379	0.082379097	0.03846223	0.082379097	0.17190262	0.061343273	0.284037401	0.490223176	0.351665478	0.351665478	0.21283189	0.23822486	0.23822486	0.351665478	0.23822486	0.23822486	0.284037401	0.032258637	0.23822486	0.093408273	0.170310041	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.284037401	0.23822486	0.047619921	0.206873557	0.03846223	0.564515588	0.093408273	0.061343273	0.032258637	0.652270226	0.59960428	0.206873557	0.082379097	0.061343273	0.03846223	0.061343273	0.59960428	0.082379097	0.061343273	0.838709477	0.563017086	0.23822486	0.03846223	0.061343273	0.03846223	0.061343273	0.21283189	0.23822486	0.082379097
myeloma	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.304051121	0.23822486	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.163074998	0.23822486	0.193613418	0.38643481	0.026217688	0.336556587	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.564515588	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.38643481	0.458800952	0.564515588	1	0.022082402	0.144176356	0.23822486	0.041172339	0.336556587	0.304051121	0.054521373	0.23822486	0.163074998	0.842271159	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.842271159	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.564515588	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.38643481	0.304051121	0.304051121	0.184015148	0.193613418	0.193613418	0.304051121	0.193613418	0.193613418	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.681647619	0.078342404	0.054521373	0.026217688	0.336556587	0.302015577	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.302015577	0.07496322	0.054521373	0.458800952	0.278017489	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
myotonic dystrophy type 1	0.022082402	0.101626678	0.036761943	0.036761943	0.022082402	0.022082402	0.121083697	0.022082402	0.036761943	0.028013277	0.068032244	0.069898901	0.068032244	0.068032244	0.068032244	0.101626678	0.049857993	0.022082402	0.022082402	0.022082402	0.036761943	0.036761943	0.028013277	0.036761943	0.028013277	0.022082402	0.028013277	0.049857993	0.036761943	0.069898901	0.049857993	0.028013277	0.053628691	0.121083697	0.022082402	0.049857993	0.018021641	0.028013277	0.022082402	0.018021641	0.053628691	0.015222379	0.068032244	0.053628691	0.022082402	0.246807647	0.089279004	0.089279004	0.089279004	0.036761943	0.121083697	0.022082402	0.043766843	0.043766843	0.022082402	0.043766843	0.089279004	0.028013277	0.068032244	0.049857993	0.036761943	0.068032244	0.089279004	0.018021641	0.089279004	0.101626678	0.028013277	0.089279004	0.098694817	0.222834703	0.098694817	0.022082402	0.028013277	0.049857993	0.049857993	0.018021641	0.089279004	0.069898901	0.049857993	0.049857993	0.049857993	0.018021641	0.022082402	0.028013277	0.022082402	1	0.028013277	0.028013277	0.089279004	0.015222379	0.036761943	0.222834703	0.028013277	0.018021641	0.018021641	0.036761943	0.022082402	0.049857993	0.022082402	0.101626678	0.022082402	0.022082402	0.018021641	0.089279004	0.049857993	0.018021641	0.022082402	0.022082402	0.022082402	0.169754474	0.022082402	0.049857993	0.169754474	0.036761943	0.028013277	0.018021641	0.028013277	0.068032244	0.068032244	0.154659246	0.022082402	0.036761943	0.022082402	0.036761943	0.069898901	0.068032244	0.069898901	0.028013277	0.049857993	0.028013277	0.018021641	0.036761943	0.036761943	0.036761943	0.022082402	0.022082402	0.036761943	0.022082402	0.022082402	0.028013277	0.098694817	0.022082402	0.028013277	0.013283683	0.022082402	0.068032244	0.028013277	0.069898901	0.516192175	0.028013277	0.022082402	0.036761943	0.018021641	0.028013277	0.022082402	0.028013277	0.049857993	0.053628691	0.015222379	0.013283683	0.018021641	0.069898901	0.049857993	0.068032244	0.121083697	0.013283683	0.069898901	0.121083697	0.022082402	0.011936644	0.022082402	0.068032244	0.121083697	0.068032244	0.121083697	0.036761943	0.022082402	0.069898901
embryonal carcinoma	0.032258637	0.517415251	0.047619921	0.21283189	0.144176356	0.144176356	0.061343273	0.144176356	0.21283189	0.17190262	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.453010236	0.144176356	0.144176356	0.144176356	0.21283189	0.047619921	0.17190262	0.21283189	0.17190262	0.144176356	0.17190262	0.061343273	0.047619921	0.082379097	0.061343273	0.17190262	0.032258637	0.061343273	0.144176356	0.453010236	0.125202196	0.17190262	0.144176356	0.125202196	0.032258637	0.112126961	0.03846223	0.032258637	0.144176356	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.144176356	0.028013277	0.028013277	0.144176356	0.028013277	0.047619921	0.17190262	0.03846223	0.274166874	0.047619921	0.03846223	0.047619921	0.125202196	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.144176356	0.17190262	0.061343273	0.061343273	0.125202196	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.125202196	0.144176356	0.17190262	0.144176356	0.028013277	1	0.17190262	0.047619921	0.112126961	0.21283189	0.061343273	0.17190262	0.125202196	0.125202196	0.21283189	0.144176356	0.061343273	0.144176356	0.115768709	0.372579866	0.144176356	0.125202196	0.047619921	0.708500752	0.125202196	0.372579866	0.23822486	0.078342404	0.082379097	0.144176356	0.061343273	0.082379097	0.21283189	0.17190262	0.125202196	0.17190262	0.03846223	0.03846223	0.17181763	0.144176356	0.047619921	0.144176356	0.115648379	0.082379097	0.03846223	0.082379097	0.444229946	0.061343273	0.17190262	0.125202196	0.21283189	0.21283189	0.351665478	0.144176356	0.144176356	0.21283189	0.144176356	0.144176356	0.17190262	0.032258637	0.144176356	0.093408273	0.103073547	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.17190262	0.144176356	0.047619921	0.125202196	0.03846223	0.144176356	0.093408273	0.061343273	0.032258637	0.112126961	0.103073547	0.125202196	0.082379097	0.061343273	0.03846223	0.061343273	0.103073547	0.082379097	0.061343273	0.144176356	0.096784112	0.144176356	0.03846223	0.061343273	0.03846223	0.061343273	0.351665478	0.144176356	0.082379097
oral squamous cell carcinoma	0.032258637	0.517415251	0.047619921	0.549999175	0.23822486	0.23822486	0.061343273	0.372579866	0.351665478	0.444229946	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.274166874	0.372579866	0.23822486	0.23822486	0.351665478	0.047619921	0.284037401	0.549999175	0.284037401	0.564515588	0.673076439	0.061343273	0.047619921	0.082379097	0.061343273	0.284037401	0.032258637	0.061343273	0.23822486	0.274166874	0.32354693	0.444229946	0.372579866	0.206873557	0.032258637	0.18526914	0.03846223	0.032258637	0.23822486	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.372579866	0.028013277	0.028013277	0.23822486	0.028013277	0.047619921	0.284037401	0.03846223	0.453010236	0.047619921	0.03846223	0.047619921	0.206873557	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.372579866	0.284037401	0.061343273	0.061343273	0.206873557	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.206873557	0.23822486	0.284037401	0.23822486	0.028013277	0.17190262	1	0.047619921	0.18526914	0.351665478	0.061343273	0.284037401	0.206873557	0.206873557	0.351665478	0.23822486	0.061343273	0.23822486	0.115768709	0.144176356	0.23822486	0.206873557	0.047619921	0.274166874	0.206873557	0.144176356	0.144176356	0.078342404	0.082379097	0.372579866	0.061343273	0.082379097	0.549999175	0.284037401	0.206873557	0.284037401	0.03846223	0.03846223	0.17181763	0.23822486	0.047619921	0.23822486	0.115648379	0.082379097	0.03846223	0.082379097	0.17190262	0.061343273	0.284037401	0.206873557	0.549999175	0.351665478	0.21283189	0.372579866	0.23822486	0.549999175	0.23822486	0.372579866	0.284037401	0.032258637	0.23822486	0.093408273	0.170310041	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.284037401	0.23822486	0.047619921	0.206873557	0.03846223	0.23822486	0.093408273	0.061343273	0.032258637	0.18526914	0.170310041	0.206873557	0.082379097	0.061343273	0.03846223	0.061343273	0.170310041	0.082379097	0.061343273	0.23822486	0.15991791	0.23822486	0.03846223	0.061343273	0.03846223	0.061343273	0.21283189	0.564515588	0.082379097
autoimmune disease	0.041172339	0.128249503	0.057143926	0.057143926	0.041172339	0.041172339	0.173472727	0.041172339	0.057143926	0.047619921	0.115648379	0.093360272	0.115648379	0.115648379	0.115648379	0.128249503	0.071429946	0.041172339	0.041172339	0.041172339	0.057143926	0.057143926	0.047619921	0.057143926	0.047619921	0.041172339	0.047619921	0.071429946	0.057143926	0.093360272	0.071429946	0.047619921	0.099989966	0.173472727	0.041172339	0.071429946	0.036761943	0.047619921	0.041172339	0.036761943	0.099989966	0.033723621	0.115648379	0.099989966	0.041172339	0.311463078	0.138778105	0.138778105	0.138778105	0.057143926	0.173472727	0.041172339	0.089279004	0.089279004	0.041172339	0.089279004	0.138778105	0.047619921	0.115648379	0.071429946	0.057143926	0.115648379	0.138778105	0.036761943	0.138778105	0.128249503	0.047619921	0.138778105	0.099989966	0.173472727	0.099989966	0.041172339	0.047619921	0.071429946	0.071429946	0.036761943	0.255398362	0.093360272	0.071429946	0.071429946	0.071429946	0.036761943	0.041172339	0.047619921	0.041172339	0.089279004	0.047619921	0.047619921	1	0.033723621	0.057143926	0.173472727	0.047619921	0.036761943	0.036761943	0.057143926	0.041172339	0.071429946	0.041172339	0.128249503	0.041172339	0.041172339	0.036761943	0.138778105	0.071429946	0.036761943	0.041172339	0.041172339	0.041172339	0.417263256	0.041172339	0.071429946	0.226732089	0.057143926	0.047619921	0.036761943	0.047619921	0.115648379	0.21283189	0.187036889	0.041172339	0.057143926	0.041172339	0.057143926	0.093360272	0.115648379	0.093360272	0.047619921	0.071429946	0.047619921	0.036761943	0.057143926	0.057143926	0.057143926	0.041172339	0.041172339	0.057143926	0.041172339	0.041172339	0.047619921	0.099989966	0.041172339	0.047619921	0.031620295	0.041172339	0.115648379	0.047619921	0.093360272	0.226732089	0.047619921	0.041172339	0.057143926	0.036761943	0.047619921	0.041172339	0.047619921	0.071429946	0.099989966	0.033723621	0.031620295	0.036761943	0.093360272	0.071429946	0.115648379	0.173472727	0.031620295	0.093360272	0.173472727	0.041172339	0.030159319	0.041172339	0.115648379	0.173472727	0.115648379	0.173472727	0.057143926	0.041172339	0.093360272
B-cell neoplasms	0.019232165	0.436595975	0.033723621	0.24904353	0.142026452	0.142026452	0.046646837	0.142026452	0.24904353	0.18526914	0.025087767	0.066414066	0.025087767	0.025087767	0.025087767	0.097685857	0.208482801	0.142026452	0.142026452	0.142026452	0.24904353	0.033723621	0.18526914	0.24904353	0.18526914	0.142026452	0.18526914	0.046646837	0.033723621	0.066414066	0.046646837	0.18526914	0.019232165	0.046646837	0.142026452	0.208482801	0.112414826	0.18526914	0.142026452	0.266386647	0.019232165	0.218010739	0.025087767	0.019232165	0.142026452	0.097685857	0.033723621	0.033723621	0.033723621	0.033723621	0.046646837	0.142026452	0.015222379	0.015222379	0.142026452	0.015222379	0.033723621	0.439027721	0.025087767	0.34447941	0.033723621	0.025087767	0.033723621	0.112414826	0.033723621	0.436595975	0.025087767	0.033723621	0.019232165	0.046646837	0.019232165	0.142026452	0.18526914	0.046646837	0.046646837	0.112414826	0.033723621	0.066414066	0.046646837	0.046646837	0.046646837	0.266386647	0.336556587	0.652270226	0.336556587	0.015222379	0.112126961	0.18526914	0.033723621	1	0.24904353	0.046646837	0.18526914	0.112414826	0.266386647	0.24904353	0.142026452	0.046646837	0.142026452	0.097685857	0.085956001	0.142026452	0.266386647	0.033723621	0.208482801	0.112414826	0.085956001	0.085956001	0.046706685	0.066414066	0.142026452	0.046646837	0.066414066	0.24904353	0.652270226	0.112414826	0.18526914	0.025087767	0.025087767	0.149894187	0.142026452	0.033723621	0.142026452	0.081900221	0.066414066	0.025087767	0.066414066	0.112126961	0.046646837	0.18526914	0.266386647	0.24904353	0.24904353	0.150723937	0.142026452	0.142026452	0.24904353	0.142026452	0.142026452	0.18526914	0.019232165	0.142026452	0.060927435	0.077860721	0.019232165	0.025087767	0.025087767	0.066414066	0.066414066	0.18526914	0.142026452	0.033723621	0.112414826	0.025087767	0.336556587	0.060927435	0.046646837	0.019232165	0.691279407	0.846309838	0.112414826	0.066414066	0.046646837	0.025087767	0.046646837	0.846309838	0.066414066	0.046646837	0.500027288	0.739518318	0.142026452	0.025087767	0.046646837	0.025087767	0.046646837	0.150723937	0.142026452	0.066414066
kidney cancer	0.041172339	0.573196756	0.057143926	0.421998728	0.304051121	0.304051121	0.071429946	0.304051121	0.421998728	0.351665478	0.047619921	0.093360272	0.047619921	0.047619921	0.047619921	0.128249503	0.319248128	0.304051121	0.304051121	0.304051121	0.421998728	0.057143926	0.351665478	0.421998728	0.351665478	0.304051121	0.351665478	0.071429946	0.057143926	0.093360272	0.071429946	0.351665478	0.041172339	0.071429946	0.304051121	0.319248128	0.271481054	0.351665478	0.304051121	0.271481054	0.041172339	0.24904353	0.047619921	0.041172339	0.304051121	0.128249503	0.057143926	0.057143926	0.057143926	0.057143926	0.071429946	0.304051121	0.036761943	0.036761943	0.304051121	0.036761943	0.057143926	0.351665478	0.047619921	0.527498701	0.057143926	0.047619921	0.057143926	0.271481054	0.057143926	0.573196756	0.047619921	0.057143926	0.041172339	0.071429946	0.041172339	0.304051121	0.351665478	0.071429946	0.071429946	0.271481054	0.057143926	0.093360272	0.071429946	0.071429946	0.071429946	0.271481054	0.304051121	0.351665478	0.304051121	0.036761943	0.21283189	0.351665478	0.057143926	0.24904353	1	0.071429946	0.549999175	0.271481054	0.271481054	0.421998728	0.720502458	0.071429946	0.304051121	0.128249503	0.184015148	0.304051121	0.271481054	0.057143926	0.319248128	0.271481054	0.184015148	0.184015148	0.099989966	0.093360272	0.304051121	0.071429946	0.093360272	0.421998728	0.351665478	0.271481054	0.351665478	0.047619921	0.047619921	0.187036889	0.304051121	0.057143926	0.304051121	0.138778105	0.093360272	0.047619921	0.093360272	0.21283189	0.071429946	0.833333028	0.271481054	0.421998728	1	0.255398362	0.304051121	0.304051121	0.421998728	0.304051121	0.304051121	0.351665478	0.041172339	0.304051121	0.115648379	0.233510809	0.041172339	0.047619921	0.047619921	0.093360272	0.093360272	0.351665478	0.720502458	0.057143926	0.643321971	0.047619921	0.304051121	0.115648379	0.071429946	0.041172339	0.24904353	0.233510809	0.271481054	0.093360272	0.071429946	0.047619921	0.071429946	0.233510809	0.093360272	0.071429946	0.304051121	0.222721734	0.304051121	0.047619921	0.071429946	0.047619921	0.071429946	0.255398362	0.304051121	0.093360272
systemic lupus erythaematosus	0.054521373	0.14710564	0.071429946	0.071429946	0.054521373	0.054521373	0.210270095	0.054521373	0.071429946	0.061343273	0.14897652	0.109892388	0.14897652	0.14897652	0.14897652	0.14710564	0.086581804	0.054521373	0.054521373	0.054521373	0.071429946	0.071429946	0.061343273	0.071429946	0.061343273	0.054521373	0.061343273	0.086581804	0.071429946	0.109892388	0.086581804	0.061343273	0.132409048	0.210270095	0.054521373	0.086581804	0.049857993	0.061343273	0.054521373	0.049857993	0.132409048	0.046646837	0.14897652	0.132409048	0.054521373	0.357256553	0.173472727	0.173472727	0.173472727	0.071429946	0.210270095	0.054521373	0.121083697	0.121083697	0.054521373	0.121083697	0.173472727	0.061343273	0.14897652	0.086581804	0.071429946	0.14897652	0.173472727	0.049857993	0.173472727	0.14710564	0.061343273	0.173472727	0.402631596	0.639392737	0.402631596	0.054521373	0.061343273	0.086581804	0.086581804	0.049857993	0.173472727	0.109892388	0.086581804	0.086581804	0.086581804	0.049857993	0.054521373	0.061343273	0.054521373	0.222834703	0.061343273	0.061343273	0.173472727	0.046646837	0.071429946	1	0.061343273	0.049857993	0.049857993	0.071429946	0.054521373	0.086581804	0.054521373	0.14710564	0.054521373	0.054521373	0.049857993	0.173472727	0.086581804	0.049857993	0.054521373	0.054521373	0.054521373	0.266881514	0.054521373	0.086581804	0.266881514	0.071429946	0.061343273	0.049857993	0.061343273	0.14897652	0.14897652	0.210167445	0.054521373	0.071429946	0.054521373	0.071429946	0.109892388	0.14897652	0.109892388	0.061343273	0.086581804	0.061343273	0.049857993	0.071429946	0.071429946	0.071429946	0.054521373	0.054521373	0.071429946	0.054521373	0.054521373	0.061343273	0.402631596	0.054521373	0.061343273	0.044424556	0.054521373	0.14897652	0.061343273	0.109892388	0.491151693	0.061343273	0.054521373	0.071429946	0.049857993	0.061343273	0.054521373	0.061343273	0.086581804	0.132409048	0.046646837	0.044424556	0.049857993	0.109892388	0.086581804	0.14897652	0.210270095	0.044424556	0.109892388	0.210270095	0.054521373	0.042881285	0.054521373	0.14897652	0.210270095	0.14897652	0.210270095	0.071429946	0.054521373	0.109892388
bladder cancer	0.032258637	0.517415251	0.047619921	0.351665478	0.23822486	0.23822486	0.061343273	0.23822486	0.351665478	0.284037401	0.03846223	0.082379097	0.03846223	0.03846223	0.03846223	0.115768709	0.274166874	0.23822486	0.23822486	0.23822486	0.351665478	0.047619921	0.284037401	0.351665478	0.284037401	0.23822486	0.284037401	0.061343273	0.047619921	0.082379097	0.061343273	0.284037401	0.032258637	0.061343273	0.23822486	0.274166874	0.206873557	0.284037401	0.23822486	0.206873557	0.032258637	0.18526914	0.03846223	0.032258637	0.23822486	0.115768709	0.047619921	0.047619921	0.047619921	0.047619921	0.061343273	0.23822486	0.028013277	0.028013277	0.23822486	0.028013277	0.047619921	0.284037401	0.03846223	0.453010236	0.047619921	0.03846223	0.047619921	0.206873557	0.047619921	0.517415251	0.03846223	0.047619921	0.032258637	0.061343273	0.032258637	0.23822486	0.284037401	0.061343273	0.061343273	0.206873557	0.047619921	0.082379097	0.061343273	0.061343273	0.061343273	0.206873557	0.23822486	0.284037401	0.23822486	0.028013277	0.17190262	0.284037401	0.047619921	0.18526914	0.549999175	0.061343273	1	0.206873557	0.206873557	0.351665478	0.372579866	0.061343273	0.23822486	0.115768709	0.144176356	0.23822486	0.206873557	0.047619921	0.274166874	0.206873557	0.144176356	0.144176356	0.078342404	0.082379097	0.23822486	0.061343273	0.082379097	0.351665478	0.284037401	0.206873557	0.284037401	0.03846223	0.03846223	0.17181763	0.23822486	0.047619921	0.23822486	0.115648379	0.082379097	0.03846223	0.082379097	0.17190262	0.061343273	0.444229946	0.206873557	0.351665478	0.549999175	0.21283189	0.23822486	0.23822486	0.351665478	0.23822486	0.23822486	0.284037401	0.032258637	0.23822486	0.093408273	0.170310041	0.032258637	0.03846223	0.03846223	0.082379097	0.082379097	0.284037401	0.372579866	0.047619921	0.32354693	0.03846223	0.23822486	0.093408273	0.061343273	0.032258637	0.18526914	0.170310041	0.206873557	0.082379097	0.061343273	0.03846223	0.061343273	0.170310041	0.082379097	0.061343273	0.23822486	0.15991791	0.23822486	0.03846223	0.061343273	0.03846223	0.061343273	0.21283189	0.23822486	0.082379097
