	7SK	ADAMTS9-AS2	AFAP1-AS1	ATP6V1G2-DDX39B	ATXN8OS	BACE1-AS	BANCR	BC040587	BCAR4	BCYRN1	BDNF-AS	BOK-AS1	BPESC1	C1QTNF9B-AS1	CASC2	CBR3-AS1	CCAT1	CCAT2	CCDC26	CDKN2B-AS1	CECR3	CECR9	CHL1-AS2	CRNDE	DANCR	DAOA-AS1	DAPK1	DGCR5	DISC2	DLEU1	DLEU2	DLX6-AS1	DMPK	DNM3OS	DSCAM-AS1	EPB41L4A-AS1	ESRG	FOXCUT	GAS5	GHET1	GNAS-AS1	H19	HAR1A	HAR1B	HCP5	HIF1A-AS1	HIF1A-AS2	HNF1A-AS1	HOTAIR	HOTTIP	HULC	HYMAI	IFNG-AS1	IGF2-AS	KCNQ1DN	KCNQ1OT1	LINC00032	LINC00152	LINC00162	LINC00261	LINC00271	LSINCT5	MALAT1	MAP3K14	MEG3	MESTIT1	MIAT	MINA	MIR100HG	MIR155HG	MIR17HG	MIR31HG	MKRN3-AS1	MNX1-AS1	MYCNOS	NAMA	NEAT1	NPTN-IT1	NRON	PANDAR	PCA3	PCAT1	PCGEM1	PDZRN3-AS1	PINK1-AS	PISRT1	PPP3CB	PRINS	PSORS1C3	PTENP1	PVT1	RMST	RPL34-AS1	RRP1B	SCAANT1	SNHG11	SNHG16	SNHG3	SNHG4	SNHG5	SOX2-OT	SPRY4-IT1	SRA1	TCL6	TDRG1	TERC	TRAF3IP2-AS1	TUG1	TUSC7	UCA1	WRAP53	WT1-AS	XIST	ZFAS1	ZFAT-AS1
PCAT1	0.309558824	0.591176471	0.425	0.541176471	0.358823529	0.229411765	0.300735294	0.541176471	0.670588235	0.000735294	0.633823529	0.434558824	0.541176471	0.746323529	0.563970588	0.675735294	0.377941176	0.541176471	0.280882353	0.482352941	0.570588235	0.541176471	0.213235294	0.529411765	0.346323529	0.541176471	0.211029412	0.413970588	0.441176471	0.564705882	0.535294118	0.533823529	0.259558824	0.805147059	0.411764706	0.473529412	0.383088235	0.520588235	0.519117647	0.541911765	0.582352941	0.057352941	0.061029412	0.066911765	0.316911765	0.531617647	0.467647059	0.5	0.648529412	0.325	0.384558824	0.541176471	0.367647059	0.346323529	0.351470588	0.682352941	0.102941176	0.3625	0.189705882	0.154411765	0.7375	0.774264706	0.379411765	0.288235294	0.175735294	0.569852941	0.398529412	0.373529412	0.471323529	0.686029412	0.488235294	0.466176471	0.311764706	0.570588235	0.589705882	0.492647059	0.756617647	0.278676471	0.250735294	0.647058824	0.280882353	1	0.638235294	0.107352941	0.386764706	0.541176471	0.108823529	0.078676471	0.722794118	0.266911765	0.525	0.572058824	0.733823529	0.436764706	0.452941176	0.748529412	0.052941176	0.686029412	0.632352941	0.386764706	0.423529412	0.675735294	0.603676471	0.661029412	0.240441176	0.541176471	0.592647059	0.709558824	0.4125	0.538970588	0.535294118	0.524264706	0.363235294	0.307352941	0.541176471
PCGEM1	0.407352941	0.6125	0.579411765	0.713235294	0.577941176	0.472058824	0.152205882	0.713235294	0.630882353	0.309558824	0.532352941	0.211764706	0.713235294	0.645588235	0.421323529	0.663235294	0.458088235	0.713235294	0.505882353	0.457352941	0.577941176	0.713235294	0.490441176	0.221323529	0.478676471	0.713235294	0.593382353	0.302205882	0.619117647	0.396323529	0.294117647	0.402941176	0.279411765	0.804411765	0.642647059	0.578676471	0.394852941	0.365441176	0.594852941	0.566176471	0.579411765	0.183823529	0.182352941	0.075735294	0.381617647	0.244117647	0.240441176	0.492647059	0.648529412	0.691176471	0.355882353	0.713235294	0.288235294	0.510294118	0.339705882	0.604411765	0.6	0.186029412	0.119852941	0.307352941	0.524264706	0.579411765	0.357352941	0.380147059	0.293382353	0.355882353	0.318382353	0.4625	0.396323529	0.335294118	0.465441176	0.616911765	0.423529412	0.577941176	0.495588235	0.335294118	0.686029412	0.367647059	0.403676471	0.630882353	0.629411765	0.638235294	1	0.548529412	0.398529412	0.713235294	0.267647059	0.436764706	0.582352941	0.123529412	0.544117647	0.638235294	0.452941176	0.480147059	0.022794118	0.6	0.243382353	0.572794118	0.691911765	0.360294118	0.405147059	0.364705882	0.349264706	0.624264706	0.390441176	0.713235294	0.440441176	0.541176471	0.453676471	0.522794118	0.433088235	0.577205882	0.275735294	0.388235294	0.713235294
PDZRN3-AS1	0.252941176	0.258088235	0.473529412	0.664705882	0.682352941	0.429411765	0.540441176	0.664705882	0.382352941	0.607352941	0.520588235	0.239705882	0.664705882	0.2	0.375	0.517647059	0.158088235	0.664705882	0.256617647	0.334558824	0.517647059	0.664705882	0.469117647	0.344117647	0.205147059	0.664705882	0.186029412	0.101470588	0.631617647	0.008088235	0.066176471	0.411764706	0.253676471	0.314705882	0.688235294	0.230882353	0.280147059	0.275735294	0.189705882	0.469852941	0.388235294	0.205882353	0.159558824	0.25	0.052941176	0.206617647	0.132352941	0.033823529	0.202205882	0.606617647	0.105882353	0.664705882	0.229411765	0.514705882	0.585294118	0.428676471	0.488235294	0.011764706	0.461029412	0.191176471	0.280147059	0.352205882	0.308823529	0.147058824	0.592647059	0.375	0.079411765	0.027205882	0.397794118	0.193382353	0.241911765	0.601470588	0.511029412	0.517647059	0.431617647	0.344117647	0.324264706	0.722794118	0.451470588	0.382352941	0.496323529	0.107352941	0.548529412	1	0.288970588	0.664705882	0.544117647	0.615441176	0.213970588	0.013970588	0.146323529	0.463235294	0.25	0.011764706	0.099264706	0.183823529	0.188235294	0.069117647	0.331617647	0.011764706	0.390441176	0.169117647	0.146323529	0.188235294	0.459558824	0.664705882	0.247794118	0.145588235	0.536029412	0.138235294	0.103676471	0.364705882	0.256617647	0.129411765	0.664705882
PINK1-AS	0.261764706	0.005147059	0.086029412	0.549264706	0.343382353	0.281617647	0.115441176	0.549264706	0.5375	0.253676471	0.209558824	0.063235294	0.549264706	0.602941176	0.019852941	0.379411765	0.208823529	0.549264706	0.386029412	0.116911765	0.472794118	0.549264706	0.3375	0.371323529	0.296323529	0.549264706	0.066911765	0.194117647	0.666176471	0.341176471	0.083823529	0.218382353	0.355882353	0.201470588	0.184558824	0.026470588	0.220588235	0.451470588	0.025735294	0.294852941	0.5625	0.350735294	0.227205882	0.144852941	0.080147059	0.386764706	0.347794118	0.027205882	0.3125	0.115441176	0.121323529	0.549264706	0.619852941	0.203676471	0.206617647	0.481617647	0.053676471	0.040441176	0.273529412	0.165441176	0.256617647	0.319852941	0.365441176	0.075735294	0.222058824	0.023529412	0.042647059	0.578676471	0.2125	0.230882353	0.6125	0.124264706	0.239705882	0.472794118	0.291176471	0.284558824	0.315441176	0.174264706	0.463235294	0.408088235	0.013235294	0.386764706	0.398529412	0.288970588	1	0.549264706	0.008088235	0.2375	0.392647059	0.166176471	0.276470588	0.298529412	0.400735294	0.448529412	0.246323529	0.191911765	0.297058824	0.241911765	0.336764706	0.3125	0.093382353	0.472794118	0.389705882	0.469852941	0.283088235	0.549264706	0.259558824	0.452205882	0.286029412	0.084558824	0.358823529	0.179411765	0.331617647	0.072794118	0.549264706
PISRT1	0.563235294	0.505147059	0.602941176	1	0.911764706	0.511764706	0.563970588	1	0.835294118	0.505882353	0.511764706	0.541176471	1	0.567647059	0.511764706	0.514705882	0.544852941	1	0.768382353	0.547794118	0.911764706	1	0.510294118	0.508823529	0.502205882	1	0.506617647	0.541176471	0.834558824	0.5125	0.510294118	0.602941176	0.502205882	0.529411765	0.717647059	0.507352941	0.515441176	0.565441176	0.501470588	0.513970588	0.664705882	0.5	0.513970588	0.533823529	0.510294118	0.565441176	0.508823529	0.513235294	0.563970588	0.834558824	0.622058824	1	0.576470588	0.663235294	0.767647059	0.511029412	0.588235294	0.508823529	0.5875	0.661764706	0.534558824	0.603676471	0.5	0.511764706	0.504411765	0.595588235	0.542647059	0.528676471	0.527205882	0.511029412	0.519852941	0.589705882	0.711029412	0.911764706	0.534558824	0.588235294	0.502205882	0.509558824	0.713235294	0.835294118	0.552205882	0.541176471	0.713235294	0.664705882	0.549264706	1	0.5	0.544852941	0.511029412	0.513970588	0.503676471	0.622058824	0.536764706	0.507352941	0.518382353	0.517647059	0.516176471	0.527941176	0.506617647	0.5	0.565441176	0.522058824	0.518382353	0.544117647	0.711029412	1	0.522794118	0.501470588	0.834558824	0.533823529	0.530147059	0.529411765	0.544852941	0.5	1
PPP3CB	0.482352941	0.152205882	0.320588235	0.5	0.588235294	0.726470588	0.196323529	0.5	0.382352941	0.408823529	0.314705882	0.070588235	0.5	0.067647059	0.279411765	0.339705882	0.159558824	0.5	0.025735294	0.338970588	0.470588235	0.5	0.376470588	0.130882353	0.243382353	0.5	0.0375	0.042647059	0.286029412	0.343382353	0.161764706	0.526470588	0.3875	0.045588235	0.617647059	0.204411765	0.050735294	0.074264706	0.1	0.169852941	0.538235294	0.397058824	0.384558824	0.164705882	0.517647059	0.1125	0.063235294	0.127941176	0.0625	0.549264706	0.217647059	0.5	0.061764706	0.277941176	0.617647059	0.193382353	0.467647059	0.275	0.300735294	0.008823529	0.400735294	0.199264706	0.126470588	0.152941176	0.311764706	0.438235294	0.05	0.265441176	0.305147059	0.415441176	0.136029412	0.505882353	0.334558824	0.470588235	0.213970588	0.05	0.063970588	0.303676471	0.370588235	0.264705882	0.413970588	0.108823529	0.267647059	0.544117647	0.008088235	0.5	1	0.352205882	0.018382353	0.116911765	0.180147059	0.401470588	0.107352941	0.175	0.196323529	0.125	0.145588235	0.252941176	0.1125	0.141176471	0.446323529	0.245588235	0.297794118	0.130882353	0.406617647	0.5	0.158088235	0.029411765	0.5625	0.076470588	0.005147059	0.008823529	0.159558824	0.097058824	0.5
PRINS	0.278676471	0.332352941	0.099264706	0.544852941	0.444852941	0.003676471	0.126470588	0.544852941	0.356617647	0.308823529	0.247794118	0.15	0.544852941	0.2	0.068382353	0.530147059	0.227205882	0.544852941	0.172058824	0.442647059	0.350735294	0.544852941	0.575	0.113235294	0.144852941	0.544852941	0.216176471	0.072058824	0.544117647	0.288235294	0.152205882	0.306617647	0.3125	0.239705882	0.615441176	0.340441176	0.266911765	0.4125	0.241911765	0.219117647	0.480147059	0.418382353	0.032352941	0.113970588	0.0375	0.229411765	0.199264706	0.017647059	0.347058824	0.606617647	0.138235294	0.544852941	0.282352941	0.230147059	0.316911765	0.301470588	0.436029412	0.298529412	0.129411765	0.191911765	0.108823529	0.436029412	0.363970588	0.3375	0.231617647	0.368382353	0.072794118	0.048529412	0.336764706	0.238970588	0.243382353	0.244117647	0.197058824	0.350735294	0.239705882	0.084558824	0.321323529	0.436764706	0.194852941	0.168382353	0.483088235	0.078676471	0.436764706	0.615441176	0.2375	0.544852941	0.352205882	1	0.0875	0.402941176	0.15	0.185294118	0.003676471	0.088235294	0.136029412	0.227941176	0.408088235	0.124264706	0.357352941	0.044852941	0.357352941	0.434558824	0.097058824	0.034558824	0.302941176	0.544852941	0.259558824	0.065441176	0.255882353	0.073529412	0.340441176	0.038235294	0.173529412	0.133088235	0.544852941
PSORS1C3	0.188235294	0.652205882	0.397794118	0.511029412	0.399264706	0.202205882	0.223529412	0.511029412	0.534558824	0.080882353	0.613970588	0.180147059	0.511029412	0.711029412	0.691911765	0.566176471	0.242647059	0.511029412	0.072058824	0.502941176	0.528676471	0.511029412	0.303676471	0.358823529	0.543382353	0.511029412	0.188235294	0.325735294	0.460294118	0.469852941	0.144117647	0.256617647	0.491911765	0.751470588	0.158088235	0.35	0.447058824	0.345588235	0.301470588	0.580882353	0.584558824	0.061029412	0.022794118	0.034558824	0.121323529	0.672058824	0.478676471	0.5875	0.352941176	0.375735294	0.086029412	0.511029412	0.296323529	0.251470588	0.265441176	0.710294118	0.200735294	0.072058824	0.147794118	0.197794118	0.713970588	0.397058824	0.500735294	0.019852941	0.286029412	0.403676471	0.180882353	0.177941176	0.464705882	0.413970588	0.382352941	0.502205882	0.449264706	0.528676471	0.5	0.596323529	0.575735294	0.198529412	0.344852941	0.628676471	0.586764706	0.722794118	0.582352941	0.213970588	0.392647059	0.511029412	0.018382353	0.0875	1	0.145588235	0.214705882	0.661029412	0.557352941	0.266911765	0.103676471	0.516911765	0.032352941	0.474264706	0.478676471	0.246323529	0.644852941	0.266176471	0.194852941	0.416176471	0.363970588	0.511029412	0.486764706	0.504411765	0.436029412	0.442647059	0.221323529	0.673529412	0.481617647	0.028676471	0.511029412
PTENP1	0.002205882	0.2625	0.075735294	0.513970588	0.378676471	0.031617647	0.086029412	0.513970588	0.513970588	0.333823529	0.040441176	0.197058824	0.513970588	0.222058824	0.259558824	0.175735294	0.126470588	0.513970588	0.242647059	0.375	0.555147059	0.513970588	0.372794118	0.185294118	0.498529412	0.513970588	0.411764706	0.111029412	0.231617647	0.022794118	0.577941176	0.219852941	0.077205882	0.102205882	0.243382353	0.380882353	0.2	0.421323529	0.369117647	0.192647059	0.430147059	0.252205882	0.333088235	0.192647059	0.25	0.022794118	0.011029412	0.269852941	0.410294118	0.357352941	0.130882353	0.513970588	0.302205882	0.208088235	0.471323529	0.258823529	0.197794118	0.461029412	0.153676471	0.015441176	0.302205882	0.447058824	0.155147059	0.024264706	0.163970588	0.596323529	0.209558824	0.224264706	0.2875	0.344852941	0.293382353	0.097794118	0.196323529	0.555147059	0.243382353	0.153676471	0.024264706	0.072794118	0.335294118	0.431617647	0.138970588	0.266911765	0.123529412	0.013970588	0.166176471	0.513970588	0.116911765	0.402941176	0.145588235	1	0.284558824	0.150735294	0.247794118	0.502941176	0.291176471	0.138235294	0.175	0.094852941	0.319852941	0.350735294	0.461764706	0.366176471	0.322058824	0.35	0.513970588	0.513970588	0.335294118	0.406617647	0.441911765	0.1625	0.147794118	0.106617647	0.409558824	0.344852941	0.513970588
PVT1	0.107352941	0.596323529	0.590441176	0.503676471	0.321323529	0.388970588	0.129411765	0.503676471	0.515441176	0.003676471	0.119852941	0.05	0.503676471	0.295588235	0.128676471	0.433823529	0.189705882	0.503676471	0.3625	0.632352941	0.415441176	0.503676471	0.061764706	0.002205882	0.049264706	0.503676471	0.429411765	0.116176471	0.328676471	0.202941176	0.674264706	0.465441176	0.252941176	0.540441176	0.421323529	0.790441176	0.107352941	0.123529412	0.856617647	0.186029412	0.374264706	0.034558824	0.464705882	0.023529412	0.411764706	0.066176471	0.0875	0.007352941	0.411029412	0.430147059	0.286029412	0.503676471	0.583823529	0.25	0.165441176	0.275	0.190441176	0.457352941	0.086029412	0.109558824	0.277941176	0.5375	0.143382353	0.652941176	0.125	0.298529412	0.580147059	0.613970588	0.383088235	0.548529412	0.076470588	0.175	0.358088235	0.415441176	0.090441176	0.146323529	0.392647059	0.204411765	0.422058824	0.209558824	0.004411765	0.525	0.544117647	0.146323529	0.276470588	0.503676471	0.180147059	0.15	0.214705882	0.284558824	1	0.341176471	0.277205882	0.830882353	0.111029412	0.427205882	0.288235294	0.671323529	0.484558824	0.886029412	0.251470588	0.422058824	0.336764706	0.591911765	0.166176471	0.503676471	0.649264706	0.776470588	0.25	0.249264706	0.729411765	0.277205882	0.208823529	0.797794118	0.503676471
RMST	0.120588235	0.577941176	0.511764706	0.622058824	0.592647059	0.557352941	0.416911765	0.622058824	0.504411765	0.066176471	0.682352941	0.286029412	0.622058824	0.572794118	0.763235294	0.675	0.161029412	0.622058824	0.178676471	0.334558824	0.651470588	0.622058824	0.352941176	0.3	0.392647059	0.622058824	0.352941176	0.377941176	0.315441176	0.235294118	0.376470588	0.485294118	0.270588235	0.576470588	0.410294118	0.380147059	0.275735294	0.236029412	0.315441176	0.468382353	0.498529412	0.357352941	0.436764706	0.122794118	0.182352941	0.5875	0.0625	0.322058824	0.394852941	0.552941176	0.190441176	0.622058824	0.080147059	0.549264706	0.511764706	0.600735294	0.310294118	0.163235294	0.224264706	0.345588235	0.808823529	0.4375	0.261764706	0.098529412	0.438970588	0.510294118	0.218382353	0.391911765	0.526470588	0.157352941	0.317647059	0.884558824	0.620588235	0.651470588	0.513235294	0.764705882	0.576470588	0.206617647	0.644117647	0.657352941	0.6625	0.572058824	0.638235294	0.463235294	0.298529412	0.622058824	0.401470588	0.185294118	0.661029412	0.150735294	0.341176471	1	0.527941176	0.349264706	0.059558824	0.675	0.085294118	0.396323529	0.473529412	0.386764706	0.477941176	0.194117647	0.341911765	0.501470588	0.576470588	0.622058824	0.527205882	0.605147059	0.636764706	0.692647059	0.255882353	0.420588235	0.514705882	0.094117647	0.622058824
RPL34-AS1	0.159558824	0.172794118	0.580882353	0.536764706	0.601470588	0.361764706	0.277941176	0.536764706	0.677941176	0.050735294	0.711764706	0.215441176	0.536764706	0.616176471	0.629411765	0.669852941	0.528676471	0.536764706	0.302941176	0.394852941	0.601470588	0.536764706	0.236029412	0.419852941	0.086029412	0.536764706	0.315441176	0.788235294	0.439705882	0.456617647	0.355147059	0.736764706	0.020588235	0.476470588	0.536764706	0.247794118	0.680147059	0.660294118	0.191911765	0.835294118	0.635294118	0.132352941	0.219852941	0.433088235	0.019852941	0.546323529	0.167647059	0.394852941	0.555147059	0.141911765	0.230147059	0.536764706	0.265441176	0.347058824	0.670588235	0.875735294	0.219117647	0.088970588	0.2	0.142647059	0.797794118	0.751470588	0.520588235	0.068382353	0.344852941	0.689705882	0.560294118	0.218382353	0.317647059	0.544852941	0.582352941	0.593382353	0.458823529	0.601470588	0.827205882	0.486764706	0.524264706	0.472058824	0.427205882	0.630882353	0.319117647	0.733823529	0.452941176	0.25	0.400735294	0.536764706	0.107352941	0.003676471	0.557352941	0.247794118	0.277205882	0.527941176	1	0.296323529	0.460294118	0.709558824	0.361029412	0.399264706	0.608088235	0.136764706	0.609558824	0.480882353	0.502205882	0.721323529	0.571323529	0.536764706	0.672794118	0.575735294	0.677205882	0.415441176	0.404411765	0.319117647	0.502205882	0.086764706	0.536764706
RRP1B	0.266176471	0.403676471	0.397058824	0.507352941	0.289705882	0.426470588	0.091176471	0.507352941	0.589705882	0.439705882	0.061764706	0.075	0.507352941	0.423529412	0.050735294	0.269852941	0.069852941	0.507352941	0.443382353	0.483823529	0.513235294	0.507352941	0.021323529	0.095588235	0.041176471	0.507352941	0.528676471	0.041176471	0.297794118	0.371323529	0.638970588	0.329411765	0.245588235	0.405147059	0.236764706	0.6	0.021323529	0.026470588	0.661764706	0.205882353	0.489705882	0.158823529	0.447794118	0.124264706	0.274264706	0.05	0.069852941	0.145588235	0.492647059	0.388970588	0.118382353	0.507352941	0.585294118	0.328676471	0.192647059	0.291911765	0.063235294	0.217647059	0.114705882	0.002941176	0.339705882	0.356617647	0.195588235	0.558088235	0.030882353	0.233823529	0.389705882	0.721323529	0.078676471	0.475735294	0.25	0.116911765	0.190441176	0.513235294	0.082352941	0.098529412	0.147058824	0.113235294	0.455882353	0.354411765	0.039705882	0.436764706	0.480147059	0.011764706	0.448529412	0.507352941	0.175	0.088235294	0.266911765	0.502941176	0.830882353	0.349264706	0.296323529	1	0.006617647	0.360294118	0.182352941	0.427205882	0.366176471	0.852941176	0.272794118	0.232352941	0.433088235	0.706617647	0.316176471	0.507352941	0.482352941	0.797794118	0.320588235	0.158823529	0.688235294	0.3	0.305882353	0.533823529	0.507352941
SCAANT1	0.461029412	0.077205882	0.234558824	0.518382353	0.383088235	0.124264706	0.391176471	0.518382353	0.636029412	0.010294118	0.213970588	0.380147059	0.518382353	0.260294118	0.196323529	0.172058824	0.458088235	0.518382353	0.317647059	0.377205882	0.594852941	0.518382353	0.054411765	0.583823529	0.228676471	0.518382353	0.251470588	0.444117647	0.463235294	0.1625	0.302941176	0.440441176	0.053676471	0.158823529	0.341911765	0.158088235	0.363970588	0.480882353	0.114705882	0.234558824	0.358088235	0.113970588	0.105882353	0.342647059	0.047794118	0.214705882	0.259558824	0.159558824	0.327941176	0.094117647	0.513235294	0.518382353	0.218382353	0.441176471	0.541911765	0.311764706	0.106617647	0.326470588	0.373529412	0.199264706	0.201470588	0.594117647	0.141911765	0.123529412	0.236029412	0.505147059	0.226470588	0.023529412	0.291176471	0.269117647	0.442647059	0.015441176	0.288235294	0.594852941	0.549264706	0.284558824	0.186764706	0.288235294	0.105882353	0.388970588	0.266911765	0.452941176	0.022794118	0.099264706	0.246323529	0.518382353	0.196323529	0.136029412	0.103676471	0.291176471	0.111029412	0.059558824	0.460294118	0.006617647	1	0.252205882	0.114705882	0.185294118	0.030882353	0.040441176	0.256617647	0.675735294	0.569852941	0.071323529	0.364705882	0.518382353	0.332352941	0.1625	0.483823529	0.248529412	0.011029412	0.020588235	0.101470588	0.078676471	0.518382353
SNHG11	0.053676471	0.449264706	0.475	0.517647059	0.5	0.276470588	0.276470588	0.517647059	0.576470588	0.058823529	0.688235294	0.327205882	0.517647059	0.627941176	0.482352941	0.814705882	0.394852941	0.517647059	0.261764706	0.480882353	0.5	0.517647059	0.363970588	0.114705882	0.315441176	0.517647059	0.329411765	0.584558824	0.333088235	0.363970588	0.470588235	0.779411765	0.113235294	0.623529412	0.588235294	0.429411765	0.4625	0.411029412	0.356617647	0.557352941	0.595588235	0.073529412	0.379411765	0.286764706	0.041911765	0.370588235	0.179411765	0.344117647	0.623529412	0.4375	0.353676471	0.517647059	0.243382353	0.324264706	0.414705882	0.666176471	0.145588235	0.144117647	0.098529412	0.232352941	0.774264706	0.704411765	0.313235294	0.097794118	0.202205882	0.581617647	0.459558824	0.325735294	0.416911765	0.379411765	0.326470588	0.628676471	0.328676471	0.5	0.522794118	0.492647059	0.738970588	0.315441176	0.335294118	0.494117647	0.527941176	0.748529412	0.6	0.183823529	0.191911765	0.517647059	0.125	0.227941176	0.516911765	0.138235294	0.427205882	0.675	0.709558824	0.360294118	0.252205882	1	0.244117647	0.633088235	0.558088235	0.348529412	0.464705882	0.508088235	0.432352941	0.527941176	0.346323529	0.517647059	0.714705882	0.608823529	0.493382353	0.741176471	0.275735294	0.202941176	0.404411765	0.163235294	0.517647059
SNHG16	0.240441176	0.378676471	0.082352941	0.516176471	0.251470588	0.136764706	0	0.516176471	0.292647059	0.111764706	0.264705882	0.140441176	0.516176471	0.050735294	0.103676471	0.011029412	0.144117647	0.516176471	0.055147059	0.226470588	0.357352941	0.516176471	0.061764706	0.1875	0.156617647	0.516176471	0.113970588	0.445588235	0.374264706	0.499264706	0.086029412	0.139705882	0.395588235	0.079411765	0.092647059	0.351470588	0.291176471	0.081617647	0.283088235	0.264705882	0.251470588	0.65	0.205147059	0.481617647	0.045588235	0.094852941	0.192647059	0.245588235	0.066176471	0.374264706	0.029411765	0.516176471	0.161764706	0.122794118	0.025	0.130147059	0.329411765	0.177205882	0.033823529	0.213235294	0.241176471	0.166911765	0.019117647	0.179411765	0.006617647	0.002941176	0.186029412	0.471323529	0.179411765	0.144117647	0.031617647	0.125	0.332352941	0.357352941	0.147058824	0.132352941	0.066176471	0.013235294	0.194852941	0.127941176	0.105147059	0.052941176	0.243382353	0.188235294	0.297058824	0.516176471	0.145588235	0.408088235	0.032352941	0.175	0.288235294	0.085294118	0.361029412	0.182352941	0.114705882	0.244117647	1	0.111029412	0.028676471	0.307352941	0.026470588	0.294852941	0.041911765	0.275735294	0.202941176	0.516176471	0.096323529	0.058088235	0.110294118	0.191911765	0.042647059	0.002205882	0.048529412	0.244117647	0.516176471
SNHG3	0.241911765	0.5875	0.448529412	0.527941176	0.392647059	0.029411765	0.080147059	0.527941176	0.375	0.075	0.413235294	0.0625	0.527941176	0.356617647	0.252205882	0.580882353	0.128676471	0.527941176	0.342647059	0.540441176	0.298529412	0.527941176	0.152205882	0.055147059	0.382352941	0.527941176	0.35	0.177941176	0.355882353	0.235294118	0.361764706	0.401470588	0.079411765	0.664705882	0.351470588	0.549264706	0.244852941	0.069852941	0.591176471	0.272058824	0.220588235	0.138235294	0.191176471	0.171323529	0.414705882	0.382352941	0.320588235	0.296323529	0.273529412	0.368382353	0.331617647	0.527941176	0.547794118	0.064705882	0.060294118	0.421323529	0.207352941	0.511029412	0.056617647	0.372058824	0.350735294	0.605882353	0.283823529	0.283088235	0.054411765	0.281617647	0.691176471	0.394852941	0.497794118	0.713970588	0.258823529	0.288970588	0.519852941	0.298529412	0.143382353	0.323529412	0.802941176	0.193382353	0.450735294	0.269117647	0.156617647	0.686029412	0.572794118	0.069117647	0.241911765	0.527941176	0.252941176	0.124264706	0.474264706	0.094852941	0.671323529	0.396323529	0.399264706	0.427205882	0.185294118	0.633088235	0.111029412	1	0.661029412	0.616176471	0.213235294	0.614705882	0.355147059	0.408823529	0.0625	0.527941176	0.728676471	0.608088235	0.168382353	0.472794118	0.511029412	0.202205882	0.433088235	0.627941176	0.527941176
SNHG4	0.263235294	0.408088235	0.406617647	0.506617647	0.500735294	0.171323529	0.138235294	0.506617647	0.400735294	0.159558824	0.663970588	0.100735294	0.506617647	0.352941176	0.461029412	0.788970588	0.319852941	0.506617647	0.299264706	0.429411765	0.300735294	0.506617647	0.432352941	0.109558824	0.031617647	0.506617647	0.552205882	0.288235294	0.381617647	0.020588235	0.329411765	0.453676471	0.061764706	0.604411765	0.600735294	0.411029412	0.533088235	0.481617647	0.428676471	0.561764706	0.391911765	0.138970588	0.131617647	0.055882353	0.213970588	0.180882353	0.126470588	0.425	0.347794118	0.3125	0.153676471	0.506617647	0.349264706	0.093382353	0.321323529	0.731617647	0.563970588	0.348529412	0.157352941	0.028676471	0.572794118	0.730882353	0.633088235	0.063970588	0.134558824	0.491176471	0.552941176	0.327205882	0.486029412	0.498529412	0.555882353	0.597794118	0.516911765	0.300735294	0.527941176	0.186029412	0.751470588	0.321323529	0.538235294	0.365441176	0.426470588	0.632352941	0.691911765	0.331617647	0.336764706	0.506617647	0.1125	0.357352941	0.478676471	0.319852941	0.484558824	0.473529412	0.608088235	0.366176471	0.030882353	0.558088235	0.028676471	0.661029412	1	0.308088235	0.408823529	0.496323529	0.331617647	0.674264706	0.268382353	0.506617647	0.616911765	0.511764706	0.293382353	0.1375	0.378676471	0.158823529	0.463970588	0.408088235	0.506617647
SNHG5	0.336764706	0.536029412	0.405882353	0.5	0.305882353	0.311764706	0.124264706	0.5	0.429411765	0.225	0.020588235	0.077941176	0.5	0.272058824	0.079411765	0.294117647	0.403676471	0.5	0.299264706	0.503676471	0.423529412	0.5	0.085294118	0.105882353	0.161029412	0.5	0.369852941	0.197058824	0.249264706	0.200735294	0.641176471	0.338235294	0.346323529	0.348529412	0.170588235	0.632352941	0.261029412	0.250735294	0.680882353	0.008088235	0.317647059	0.152941176	0.556617647	0.048529412	0.280882353	0.225735294	0.108823529	0.079411765	0.238970588	0.430147059	0.145588235	0.5	0.642647059	0.108823529	0.088235294	0.115441176	0	0.377941176	0.006617647	0.191176471	0.250735294	0.299264706	0.197058824	0.605882353	0.022058824	0.176470588	0.502941176	0.671323529	0.263970588	0.531617647	0.071323529	0.110294118	0.366911765	0.423529412	0.1625	0.267647059	0.250735294	0.033088235	0.544117647	0.217647059	0.015441176	0.386764706	0.360294118	0.011764706	0.3125	0.5	0.141176471	0.044852941	0.246323529	0.350735294	0.886029412	0.386764706	0.136764706	0.852941176	0.040441176	0.348529412	0.307352941	0.616176471	0.308088235	1	0.197794118	0.280882353	0.247794118	0.477941176	0.174264706	0.5	0.594852941	0.766176471	0.247794118	0.2	0.706617647	0.197058824	0.3375	0.670588235	0.5
